iter	Passed	Remaining
448	1114	8816
449	1117	8816
450	1120	8815
451	1122	8812
452	1125	8809
453	1127	8806
454	1129	8799
455	1131	8795
456	1134	8795
457	1137	8793
458	1140	8794
459	1143	8796
460	1145	8795
461	1148	8797
462	1151	8796
463	1153	8792
464	1156	8788
465	1158	8784
466	1161	8783
467	1163	8779
468	1166	8779
469	1169	8780
470	1171	8776
471	1173	8773
472	1176	8770
473	1178	8765
474	1180	8763
475	1183	8760
476	1186	8760
477	1188	8758
478	1191	8754
479	1193	8750
480	1195	8747
481	1198	8745
482	1200	8744
483	1203	8743
484	1206	8742
485	1208	8741
486	1211	8737
487	1214	8737
488	1216	8732
489	1218	8731
490	1221	8728
491	1223	8724
492	1225	8720
493	1228	8719
494	1231	8719
495	1233	8716
496	1236	8712
497	1238	8707
498	1240	8704
499	1243	8702
500	1246	8702
501	1248	8701
502	1251	8698
503	1253	8695
504	1255	8691
505	1258	8689
506	1260	8686
507	1263	8686
508	1266	8684
509	1268	8681
510	1270	8677
511	1273	8673
512	1275	8670
513	1278	8669
514	1280	8666
515	1283	8664
516	1285	8663
517	1288	8661
518	1291	8659
519	1293	8658
520	1296	8659
521	1299	8656
522	1301	8653
523	1304	8650
524	1306	8649
525	1309	8648
526	1312	8647
527	1314	8645
528	1317	8641
529	1319	8637
530	1321	8633
531	1323	8629
532	1326	8629
533	1329	8626
534	1331	8624
535	1334	8621
536	1336	8618
537	1339	8616
538	1341	8615
539	1344	8614
540	1346	8611
541	1349	8608
542	1351	8605
543	1354	8603
544	1356	8599
545	1359	8598
546	1361	8596
547	1364	8594
548	1367	8593
549	1369	8589
550	1371	8586
551	1374	8585
552	1376	8582
553	1379	8580
554	1381	8578
555	1384	8576
556	1387	8573
557	1389	8572
558	1392	8570
559	1394	8567
560	1397	8565
561	1399	8564
562	1402	8562
563	1405	8562
564	1408	8561
565	1410	8559
566	1414	8563
567	1416	8561
568	1419	8560
569	1422	8559
570	1425	8557
571	1427	8557
572	1430	8557
573	1433	8555
574	1436	8554
575	1438	8553
576	1441	8553
577	1444	8554
578	1448	8558
579	1451	8558
580	1460	8596
581	1464	8598
582	1466	8598
583	1470	8599
584	1473	8599
585	1475	8599
586	1478	8598
587	1481	8596
588	1484	8595
589	1487	8596
590	1490	8595
591	1492	8593
592	1495	8591
593	1498	8589
594	1501	8589
595	1503	8587
596	1505	8583
597	1508	8581
598	1511	8579
599	1513	8578
600	1516	8578
601	1519	8577
602	1522	8575
603	1524	8571
604	1526	8568
605	1529	8564
606	1532	8563
607	1534	8561
608	1537	8559
609	1539	8556
610	1542	8553
611	1544	8549
612	1546	8547
613	1549	8546
614	1552	8542
615	1554	8540
616	1557	8537
617	1559	8533
618	1561	8530
619	1563	8523
620	1566	8522
621	1568	8519
622	1571	8516
623	1573	8513
624	1576	8511
625	1578	8508
626	1581	8507
627	1583	8503
628	1586	8500
629	1588	8497
630	1590	8493
631	1593	8490
632	1596	8490
633	1598	8488
634	1601	8485
635	1603	8481
636	1605	8478
637	1608	8474
638	1610	8472
639	1613	8470
640	1615	8467
641	1618	8463
642	1620	8460
643	1622	8456
644	1625	8453
645	1627	8452
646	1630	8450
647	1633	8447
648	1635	8444
649	1638	8443
650	1640	8440
651	1643	8438
652	1646	8437
653	1648	8436
654	1651	8434
655	1654	8431
656	1656	8428
657	1658	8425
658	1661	8423
659	1664	8421
660	1666	8418
661	1668	8415
662	1671	8411
663	1673	8407
664	1676	8406
665	1678	8403
666	1681	8402
667	1683	8399
668	1686	8396
669	1688	8393
670	1691	8391
671	1694	8389
672	1696	8386
673	1698	8382
674	1701	8379
675	1703	8376
676	1705	8373
677	1708	8371
678	1711	8370
679	1713	8366
680	1716	8363
681	1718	8359
682	1720	8357
683	1723	8356
684	1726	8355
685	1729	8352
686	1731	8349
687	1733	8346
688	1736	8343
689	1738	8342
690	1741	8341
691	1744	8339
692	1746	8336
693	1749	8332
694	1751	8329
695	1754	8326
696	1756	8325
697	1759	8322
698	1761	8318
699	1763	8315
700	1766	8311
701	1768	8308
702	1770	8304
703	1773	8303
704	1776	8300
705	1778	8297
706	1780	8293
707	1782	8289
708	1785	8286
709	1787	8282
710	1790	8282
711	1793	8281
712	1796	8280
713	1798	8277
714	1800	8274
715	1803	8272
716	1806	8271
717	1808	8268
718	1811	8265
719	1813	8261
720	1816	8259
721	1818	8257
722	1821	8256
723	1824	8254
724	1826	8251
725	1829	8249
726	1831	8247
727	1834	8245
728	1837	8245
729	1840	8243
730	1842	8241
731	1845	8239
732	1848	8236
733	1850	8235
734	1853	8234
735	1856	8232
736	1858	8229
737	1861	8227
738	1864	8225
739	1866	8224
740	1869	8223
741	1872	8221
742	1874	8219
743	1877	8217
744	1880	8214
745	1882	8213
746	1886	8213
747	1888	8211
748	1891	8210
749	1894	8208
750	1897	8207
751	1900	8208
752	1903	8206
753	1906	8205
